What is your age?,Gender,Class,City/ Residencial status,Type of Family,What type of video games do you typically play?,Name the video game you usually play,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,Some of my Friends think I am hothead,"If I have to resort to violence to protect my rights, I will","When people are especially nice to me, I wonder what they want",I tell my friends openly when I disagree with them,"Once I became so mad, I broke things",When people disagree with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,I can get angry suddenly but get over it quickly,"If I am provoked enough, I will hit another person","When people annoy me, I openly tell them what I think of them",I may hit a person for no good reason,Sometimes I feel I am being treated unfairly,I have trouble controlling my temper,"When frustrated, I show my irritation",Sometimes I feel people are laughing behind my back,I often disagree with people,"If somebody hits me, I hit back",I sometimes feel like exploding for no good reason,I feel other people always take over the oppurtunity and I miss it,there are people who pushed me so far that we begin fighting,"I know that some so called ""friends"" talk about me behind my back",My friends say that I am a bit argumentative,Sometimes I lose temper for no good reason,I get into fights a little more than a normal person,sometimes I can not control the feeling to hit another person,I sometimes get too much jealous from people,I dont know why sometimes I feel bitter about things,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?,BPAQ Score,Score Category,Game Category
20,male,uni,house,nuclear,"i play many :fps,fighting,action and sports","gta, call of duty, fortnite, and storymode games(role playing in a story)",3.5,2.5,"mostly none , i feel good after a hard day",3,5,5,4,2,3,4,3,3,4,5,3,3,2,5,2,3,4,3,4,3,3,3,5,4,3,2,2,3,3,yes,yes,101,Very High,"Action, Fighting, Sports/Racing"
19,male,12th,goood,joint,sports,football,0.5,0.5,football,5,3,1,5,4,3,3,1,4,4,4,2,2,3,4,5,4,3,3,2,3,2,2,2,2,2,1,2,1,3,yes,no,85,Above Average,Sports/Racing
17,male,11th,larkana,joint,sports,no,0.5,0.5,no,1,4,4,4,2,2,2,2,5,4,4,2,4,2,2,4,4,2,2,2,2,2,2,2,3,2,2,2,4,2,no,no,81,Above Average,Sports/Racing
17,male,12th,lahore,nuclear,free fire,free fire,1.5,0.5,nothing,3,4,3,4,1,4,3,4,4,2,4,2,4,2,4,3,3,4,4,3,4,3,3,4,4,4,1,1,1,2,no,no,92,High,Shooter
17,male,12th,lahore pakistan,joint,sports,score hero,0.5,0.5,nothing much,1,4,5,3,1,3,4,4,5,2,5,3,2,4,4,4,4,5,4,2,1,4,2,5,3,4,3,3,4,4,no,yes,102,Very High,Sports/Racing
18,female,11th,own,nuclear,puzzle,subway surfer's,3.5,0.5,i feel anger,3,4,3,4,3,4,2,2,4,1,3,3,3,2,4,3,4,4,4,3,2,4,4,5,5,4,3,4,4,4,yes,yes,102,Very High,Puzzle/Casual
19,male,12th,pakpattan,joint,puzzle,bubble shooter,1.5,0.5,aggressive behavior,1,4,3,4,4,3,2,4,2,1,5,4,4,2,5,5,5,5,4,5,4,5,5,2,1,5,2,4,4,5,no,yes,109,Very High,Puzzle/Casual
17,male,11th,lahore,joint,puzzle,taken 3,2.5,0.5,feeling superstitious,2,1,4,1,2,3,2,2,4,3,4,2,4,2,4,2,4,2,2,2,2,4,2,2,2,3,3,2,4,3,no,yes,79,Above Average,Puzzle/Casual
19,male,12th,lahore,joint,action,"valorant, pubg, gta 5",3.5,3.5,cool mind,4,1,3,4,5,3,1,3,4,2,3,3,4,1,3,3,2,4,3,1,3,3,2,3,3,4,4,4,2,3,no,yes,88,Above Average,Action
17,male,11th,family,joint,action,pubg,5.5,5.5,"agression, hypertension, losing control on myself",4,4,4,2,4,4,4,5,4,5,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,yes,yes,123,Very High,Action
19,male,12th,allama iqbal town lahore,joint,sports,cricket,2.5,0.5,aggressive,3,3,4,4,2,4,1,1,3,2,3,1,4,1,2,1,1,3,3,2,3,2,2,3,1,2,2,2,2,2,no,yes,69,Average,Sports/Racing
20,male,msc,owner,joint,puzzle,candy crush,0.5,0.5,no change,3,5,5,2,1,1,2,4,3,1,4,1,1,1,4,2,4,4,4,5,2,4,4,2,4,2,2,2,2,4,yes,no,85,Above Average,Puzzle/Casual
19,male,14,chaman,joint,puzzle,clash of clains,0.5,0.5,mind relaxed and time pass,4,4,4,4,4,4,5,4,4,2,4,4,4,2,4,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,no,no,109,Very High,Puzzle/Casual
20,male,bs,quetta,joint,sports,pubg,3.5,0.5,i can't play,2,1,4,2,2,4,1,4,4,4,2,2,2,1,5,4,4,5,4,2,4,5,1,5,5,4,4,5,4,4,no,yes,100,High,Sports/Racing
19,male,11th,lahore,nuclear,sports,sports,0.5,0.5,aggressive,3,4,3,4,2,3,3,3,4,5,4,3,4,2,4,3,3,2,3,4,3,2,2,4,4,3,3,2,2,4,no,yes,95,High,Sports/Racing
19,female,12th,balochistan,joint,action,pubg,1.5,1.5,little aggression,4,4,4,4,4,4,3,3,4,4,3,5,3,1,3,4,3,3,4,4,4,3,4,3,3,2,2,4,3,3,yes,yes,102,Very High,Action
19,male,12th,lahore dha,joint,sports,cricket,1.5,0.5,headache,2,2,3,4,4,2,2,2,4,2,2,2,4,2,4,2,4,4,2,2,2,4,2,4,4,2,2,2,2,2,no,yes,81,Above Average,Sports/Racing
23,male,ma history,punjab university hostel,nuclear,sports,cricket,0.5,0.5,encourage,1,3,4,4,5,4,2,1,4,4,4,3,4,2,4,2,1,4,4,2,4,2,2,4,2,1,2,3,2,1,no,yes,85,Above Average,Sports/Racing
20,male,bs,lahire dha,nuclear,puzzle,sega,1.5,2.5,i feel confident,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,no,yes,65,Average,Puzzle/Casual
18,male,12th,lahore,joint,fighting,pubg,2.5,0.5,i feel aggressive,3,3,4,4,2,4,1,1,4,2,4,2,4,2,2,2,2,4,1,1,1,4,4,4,4,4,3,3,1,3,yes,yes,83,Above Average,Fighting
19,male,12th,zhob,joint,action,gta vice city,1.5,1.5,nothigs,3,2,2,4,3,2,2,2,1,1,4,2,3,1,4,1,4,4,2,3,1,4,5,2,3,4,1,1,2,2,no,no,75,Average,Action
19,male,12th,lahore,joint,fighting,taken 5,2.5,2.5,aggression,3,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,no,yes,67,Average,Fighting
19,male,12th,lahore,joint,fighting,clash of clans,1.5,0.5,nill,3,4,4,4,3,3,1,2,2,3,2,4,2,2,2,2,4,4,2,3,3,3,3,2,3,3,4,4,5,4,no,yes,90,High,Fighting
19,female,am,student,joint,action,pubg,1.5,1.5,relax,3,2,4,4,1,1,1,3,2,3,4,2,4,2,5,4,3,4,3,2,3,4,3,3,4,2,2,3,2,4,yes,yes,87,Above Average,Action
19,male,12th,zhob,joint,sports,football game,0.5,0.5,some experience,4,4,3,5,2,4,2,2,4,2,2,2,4,2,4,4,4,2,1,2,2,4,2,4,4,2,2,2,1,4,no,yes,86,Above Average,Sports/Racing
19,female,b.com,nankana sahib,joint,puzzle,puzzle,0.5,0.5,roud,1,1,2,5,2,2,3,5,5,3,4,4,4,4,4,2,3,1,2,3,4,4,2,2,3,3,3,4,3,4,no,yes,92,High,Puzzle/Casual
17,female,ets,lahore,joint,roleplay,mine craft,0.5,0.5,no,2,4,4,3,2,3,2,3,4,2,2,2,4,2,4,2,4,3,4,4,4,4,2,4,2,2,2,2,2,4,no,no,88,Above Average,RPG
18,female,12th,nankana sahib,extended,puzzle,candy manner home design,0.5,0.5,don't play violent games,3,2,3,4,2,4,1,2,3,2,4,2,3,1,3,2,3,2,4,2,2,4,2,2,3,2,2,2,3,4,no,yes,78,Above Average,Puzzle/Casual
18,female,12th,lahore,joint,sports,subway surfer's,0.5,0.5,feeling relaxed,4,2,4,4,4,2,3,4,4,2,4,4,4,2,5,4,4,4,3,4,4,2,2,4,2,4,2,4,4,4,no,yes,103,Very High,Sports/Racing
19,male,12th,zhob,nuclear,sports,football,1.5,0.5,excited,4,2,5,4,3,4,4,4,1,3,4,2,1,2,4,4,5,4,4,4,3,4,4,5,5,4,4,3,4,4,no,yes,108,Very High,Sports/Racing
18,female,12th,lahore,joint,action,mind games,1.5,0.5,anger increase,3,4,4,2,2,4,2,4,4,2,4,2,4,2,4,4,2,4,5,2,4,2,2,5,4,4,3,2,2,2,no,yes,94,High,Action
24,male,12th,lahore,joint,sports,mission imposible,2.5,1.5,very good,2,1,4,5,1,3,1,1,3,3,3,2,2,3,2,2,2,2,4,5,2,3,5,2,2,3,3,4,4,5,yes,yes,84,Above Average,Sports/Racing
20,male,12th,killa siaf ullah,joint,fighting,sabway surpar,5.5,2.5,na thing,2,3,2,5,2,1,4,4,2,5,4,2,2,3,3,1,5,2,3,2,4,5,2,3,1,4,4,5,1,3,no,yes,89,Above Average,Fighting
19,male,12th,lahore,joint,first person shooter,counter strike,3.5,2.5,liking arms and ammunitions,3,2,4,4,2,4,5,4,4,2,4,3,3,2,4,3,4,2,4,4,4,2,2,2,4,2,2,2,2,4,no,no,93,High,Shooter
18,male,10th,zhob,joint,sports,football,0.5,0.5,good,4,1,4,5,5,4,4,1,5,1,3,3,5,3,2,5,4,4,1,5,5,4,1,5,2,1,3,1,5,2,yes,no,98,High,Sports/Racing
19,male,12th,115 sector e talha block bahria town lahore,nuclear,action,gta 5,5.5,5.5,nothing,5,5,5,5,1,3,1,3,1,1,1,1,5,5,1,3,3,1,1,1,2,2,2,1,1,1,1,1,1,2,yes,no,66,Average,Action
20,male,13,lahore,extended,fighting,fighring,0.5,0.5,time,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,yes,yes,121,Very High,Fighting
20,male,bachelors level,lahore,joint,sports,cricket,0.5,0.5,i don't experience any change,4,3,3,4,2,4,2,2,4,1,5,2,2,1,2,2,5,4,3,4,4,3,3,4,4,2,4,4,3,4,no,yes,94,High,Sports/Racing
20,female,bscs,lahore,joint,first person shooter,pubg & ludo star,1.5,1.5,nothing much ??,2,2,1,4,1,1,1,3,3,1,4,2,4,1,4,3,2,2,4,4,1,2,2,4,2,1,1,1,1,1,no,no,65,Average,Shooter
18,male,bscs 1st semester,lahore,joint,sports,car parking,1.5,1.5,car parking,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,no,no,87,Above Average,Sports/Racing
22,female,16th standard,lahore,nuclear,puzzle,candy crush,0.5,2.5,sometimes i feel tired,3,5,5,4,2,5,1,3,5,1,3,1,2,1,4,3,4,4,4,2,3,3,3,3,3,3,3,3,3,3,no,yes,92,High,Puzzle/Casual
22,female,graduation,lahore,nuclear,fighting,pubg,1.5,1.5,i rudely behave with others,2,5,5,4,2,3,1,1,3,1,3,1,4,1,3,1,3,1,3,2,1,4,1,1,1,2,1,5,1,2,no,yes,68,Average,Fighting
26,male,bachelor,lahore,joint,fighting,taken,0.5,0.5,nothing,3,2,1,4,2,4,1,2,3,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,2,2,3,no,no,69,Average,Fighting
20,female,bba 4th sem,lahore,nuclear,first person shooter,pubg,5.5,1.5,nothing.,2,4,5,4,2,3,1,3,5,3,4,1,3,1,4,2,3,2,3,3,1,2,2,4,3,2,1,1,1,3,no,no,78,Above Average,Shooter
21,female,bba 7th smester,lahote,joint,puzzle,candy cruch,0.5,0.5,i do not play violent game,2,3,2,3,1,4,3,3,4,2,4,2,2,2,4,4,4,4,4,2,4,5,4,4,2,3,4,4,2,4,no,yes,95,High,Puzzle/Casual
24,female,bba,lahore,joint,puzzle,8 ball,0.5,0.5,time waste,1,1,4,3,1,2,2,5,4,1,4,2,2,2,4,4,2,4,4,4,2,2,2,4,2,2,2,2,4,2,no,yes,80,Above Average,Puzzle/Casual
19,male,bscs 1 semester,lahore,joint,sports,cricket 2007,0.5,0.5,i got mad,2,4,4,4,2,2,2,3,3,2,4,3,2,2,3,4,4,4,2,2,2,4,2,4,1,3,2,3,2,4,no,yes,85,Above Average,Sports/Racing
32,male,post graduation,faisalabad,joint,puzzle,connection,0.5,0.5,anxiety & stress,4,4,4,4,4,2,3,4,3,2,4,4,3,2,3,3,4,2,2,3,3,2,2,2,2,3,2,2,2,2,yes,yes,86,Above Average,Puzzle/Casual
17,male,11th,lahore,joint,sports,fifa,0.5,0.5,nothing,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no,yes,35,Low,Sports/Racing
19,female,12th,lahore,joint,puzzle,1208,0.5,0.5,i don't play,3,2,3,5,1,2,1,2,3,1,2,1,1,1,3,1,4,2,3,2,1,2,2,4,4,1,1,2,1,1,no,no,62,Average,Puzzle/Casual
20,male,12th,zhob,joint,sports,gta 5,1.5,0.5,horrible dreams,5,3,4,5,3,4,1,4,3,1,5,3,4,1,5,5,3,4,3,1,1,3,3,3,4,1,1,1,1,1,no,yes,86,Above Average,Sports/Racing
20,female,12th,quetta,nuclear,sports,8 ball pool,0.5,0.5,didn't change any type of behavior,3,3,3,5,2,3,1,2,2,1,3,1,3,1,3,1,3,3,3,1,3,3,3,3,3,1,2,1,3,3,no,yes,72,Average,Sports/Racing
18,female,12th,lahore,nuclear,temple run,temple run,0.5,0.5,i can't play this game,1,5,4,4,2,5,2,2,3,4,5,2,2,1,1,2,3,3,1,1,4,3,2,3,2,4,1,2,1,4,no,yes,79,Above Average,Puzzle/Casual
16,male,10th,zhob balochistan,joint,sports,vice city,2.5,2.5,vision problem,3,1,2,1,2,1,1,4,4,3,4,5,4,4,4,3,2,3,4,4,3,4,4,4,5,3,3,3,4,4,no,yes,96,High,Sports/Racing
20,male,bscs,lahore,joint,sports,world cricket chempionship,0.5,0.5,nothing,1,1,4,4,1,3,1,1,4,1,4,1,3,1,1,3,1,3,3,3,2,2,1,3,1,1,1,1,1,2,no,no,59,Low,Sports/Racing
18,female,12th,lahore,joint,cooking,cooking games,0.5,0.5,normal,1,3,4,5,1,3,3,3,5,3,4,1,4,2,4,2,3,5,4,1,2,4,3,2,2,2,2,3,3,4,no,yes,88,Above Average,Puzzle/Casual
20,male,dvm,muzaffargarh,joint,puzzle,gtavoice city,0.5,0.5,nothing,4,2,1,4,4,4,4,3,3,3,1,2,1,1,1,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,yes,yes,88,Above Average,Puzzle/Casual
18,male,11th,zhob,joint,sports,8 ball pool,1.5,1.5,intelligence stability,3,3,3,4,2,4,2,2,3,2,2,2,2,2,2,4,3,4,3,2,2,4,2,2,2,2,2,2,2,4,no,yes,78,Above Average,Sports/Racing
17,male,11th,lahore,joint,action,pubg,3.5,3.5,angry ??,4,3,4,3,4,4,4,4,3,2,4,3,4,2,4,4,3,3,4,3,3,4,3,4,4,3,2,2,2,3,no,yes,99,High,Action
18,male,10th,lahore,joint,fighting,pubg,3.5,2.5,mostly i become grump,4,3,4,4,4,2,2,4,4,2,4,2,4,2,4,4,3,4,2,4,2,4,3,3,4,4,3,2,2,3,no,yes,96,High,Fighting
19,male,12th,quetta,nuclear,fighting,pubg,2.5,2.5,fighting behaviour,3,4,2,4,1,4,1,3,4,2,4,1,2,1,4,2,4,2,3,4,2,4,1,4,2,4,2,1,1,4,no,yes,80,Above Average,Fighting
17,male,11th,lahore,joint,fighting,pubg,2.5,2.5,i feel like i?m in battle field,4,3,4,4,2,4,3,3,3,2,3,2,4,2,4,4,4,3,4,4,4,4,3,4,3,3,3,2,4,3,yes,yes,99,High,Fighting
18,male,12th,lahore,joint,fighting,pubg,1.5,1.5,i feel myself aggresive,4,5,3,5,4,5,2,2,2,4,4,5,5,3,3,4,4,4,4,4,5,5,3,5,4,3,5,4,4,4,yes,no,118,Very High,Fighting
17,male,11th,lahore,nuclear,action,pubg,1.5,1.5,ok,1,3,4,4,1,2,1,2,5,1,4,1,4,1,2,2,2,3,2,3,3,2,3,1,4,2,1,1,1,4,no,no,70,Average,Action
20,male,11th,lahore,nuclear,sports,ea sports cricket,1.5,0.5,it's waste a lot of time,2,1,4,4,1,1,1,1,2,1,1,1,3,1,2,2,2,2,2,2,2,1,2,2,4,3,3,1,3,1,no,no,58,Low,Sports/Racing
20,male,12th,lahore,nuclear,action,arknights,2.5,2.5,0,1,4,2,4,1,2,1,1,3,1,2,2,3,1,1,1,3,1,2,3,1,2,2,1,2,2,1,1,1,1,no,no,53,Low,Action
15,male,9th,lahore,extended,action,pubg,5.5,5.5,0,1,4,2,1,1,1,2,2,2,1,1,5,5,4,3,2,5,4,4,4,3,5,5,5,2,4,3,1,1,1,no,no,84,Above Average,Action
20,male,bs,quetta,joint,action,call of duty  gta 5 last of us,3.5,1.5,i have bulit my english and active my mind,3,4,4,3,4,4,4,4,3,4,4,2,4,4,4,4,4,4,3,4,4,2,5,4,1,4,4,1,4,5,no,yes,108,Very High,Action
20,male,dvm,layyah,joint,action,pub g,2.5,1.5,aggressive,4,4,4,3,2,3,2,1,3,2,3,4,2,1,4,2,4,4,4,3,4,4,3,2,2,2,2,3,2,4,yes,yes,87,Above Average,Action
18,male,12th,lahore,joint,action,counter strike global offensive,2.5,1.5,"lack of focus, low temper, easily distraction, hard time studying.",4,5,5,2,2,5,3,4,5,3,2,4,4,2,5,4,4,3,5,5,2,5,5,5,5,4,3,2,4,4,yes,yes,115,Very High,Action
19,male,llb,lahore,joint,fighting,pubg,3.5,3.5,nothing,2,4,2,4,2,4,4,2,2,2,2,2,4,2,4,4,2,2,2,2,4,4,4,4,4,4,2,2,4,4,no,yes,90,High,Fighting
18,female,11th,lahore,joint,sports,a-1 city,3.5,0.5,i feel relax,2,5,4,5,1,4,1,1,4,1,4,2,4,2,4,4,2,4,4,2,4,4,2,4,5,5,4,2,2,4,no,yes,96,High,Sports/Racing
18,male,11th,lahore,joint,action,pubg,3.5,3.5,i wana paly game for. freshment,2,2,4,3,2,4,2,2,2,2,4,4,4,2,2,2,2,1,3,2,2,2,2,3,3,4,2,2,2,3,yes,yes,76,Average,Action
18,male,12th,lahore,joint,sports,funny,0.5,0.5,wasting of time.,1,4,3,4,4,5,3,1,2,2,3,3,4,4,4,4,4,3,1,2,2,5,5,1,5,1,3,3,1,5,no,yes,92,High,Sports/Racing
22,male,msc,lahore,nuclear,sports,world cricket,0.5,0.5,wants to play more than more,2,2,4,3,1,4,3,1,3,1,3,2,3,2,3,2,2,3,3,1,3,2,2,3,3,3,1,3,2,3,no,yes,73,Average,Sports/Racing
25,male,master,kasur,joint,puzzle,buble gum,1.5,1.5,time pass,1,1,3,5,1,4,1,1,1,1,1,1,3,1,1,1,2,2,3,4,3,1,1,1,3,1,1,1,1,3,no,yes,54,Low,Puzzle/Casual
22,female,master,lahore,nuclear,puzzle,candy crash,0.5,0.5,no,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,3,3,3,4,3,3,3,2,3,4,3,5,3,3,4,yes,yes,92,High,Puzzle/Casual
17,male,10th,lahore,nuclear,gta openworld,vicecity,2.5,2.5,during game feel good after realize waste time,2,4,2,3,4,3,4,2,4,4,5,3,2,1,4,3,3,3,3,3,2,4,4,3,1,3,2,3,3,4,no,yes,91,High,Adventure/Open World
19,male,12th,faisalabad,joint,action,pubg,2.5,2.5,abnormal,4,3,4,4,3,3,4,3,4,2,4,4,2,4,4,4,4,3,4,4,3,4,3,3,2,4,3,4,3,3,no,yes,103,Very High,Action
18,female,12th,lahore,joint,fighting,pubg,2.5,0.5,nothing,2,2,5,4,1,3,1,1,5,1,5,1,4,1,4,2,2,2,2,4,2,4,1,4,2,1,2,2,2,2,no,yes,74,Average,Fighting
17,male,10th,balochistan,joint,sports,football,1.5,2.5,no change,2,4,3,2,4,3,4,2,3,1,3,3,4,2,4,3,4,4,4,2,3,3,3,3,4,1,3,3,2,3,no,yes,89,Above Average,Sports/Racing
20,male,12th,rawalpindi,joint,fighting,pubg mobile,2.5,0.5,just for fun,2,4,4,4,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,no,no,70,Average,Fighting
15,male,9th,lahore,joint,action,pubg,1.5,1.5,"i,m normal playing this game",2,4,2,2,2,4,2,4,4,2,4,2,4,2,2,4,2,2,2,4,2,4,2,4,5,2,2,2,2,2,yes,yes,83,Above Average,Action
23,male,msc,lahore,joint,fighting,gangsters 2,5.5,5.5,feeling aggressive and glamourised offending,4,1,3,5,1,4,2,4,5,2,2,2,4,2,4,2,3,4,4,4,2,2,2,4,4,2,2,4,3,4,no,yes,91,High,Fighting
21,male,15th,sheikhupura,joint,action,glory of generals,1.5,0.5,0,1,3,3,3,2,2,1,2,4,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,4,2,1,1,1,1,yes,no,57,Low,Action
20,male,diploma,lahore,joint,sports,cricket,0.5,0.5,yes,4,2,2,2,2,3,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,2,4,4,4,2,4,1,4,no,yes,97,High,Sports/Racing
18,male,12th,lahore,joint,action,pubg,3.5,2.5,frustatiom,3,2,4,3,2,4,1,5,2,3,2,2,4,5,5,1,5,1,5,1,2,2,1,1,3,2,1,2,4,4,yes,yes,82,Above Average,Action
19,male,11th,lahore,joint,roleplay,gta san andreas,2.5,2.5,feel like i must play more,1,4,2,4,2,2,4,3,5,4,2,4,2,1,4,2,4,2,2,4,1,3,4,2,3,2,2,2,2,2,no,no,81,Above Average,RPG
19,female,bs 4th year,lahore,joint,roleplay,pubg,0.5,1.5,increased aggression,4,3,5,5,3,4,4,3,5,4,3,3,5,4,2,3,5,5,3,2,3,4,4,4,4,4,4,3,5,3,yes,no,113,Very High,RPG
18,male,bachelors,lahore,nuclear,fighting,pubg,5.5,5.5,i feel like playing out the same violent stunts as the actors in the videogame act out.,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,yes,yes,147,Very High,Fighting
19,male,9th,lahore,extended,action,mortal kombat,1.5,1.5,relaxed,2,2,3,2,2,3,3,2,3,3,3,4,2,1,3,2,3,2,3,4,1,3,4,2,3,2,3,3,1,3,no,no,77,Above Average,Action
16,male,9th,lahore,nuclear,first person shooter,shadow fight,0.5,0.5,fun,3,2,1,1,2,3,3,2,1,2,2,3,1,2,2,1,3,2,1,1,2,3,2,3,2,2,1,1,1,2,no,yes,57,Low,Shooter
20,female,12th,lahore,joint,action,pubg,2.5,2.5,motivated,4,4,3,4,3,4,4,3,4,3,4,4,4,1,4,2,4,1,2,5,5,2,4,4,4,1,3,4,2,4,yes,no,100,High,Action
19,male,bs,lahore,joint,sports,cricket,2.5,2.5,i feel relaxed,1,3,2,1,4,4,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,no,no,59,Low,Sports/Racing
17,male,11th,lahore,joint,action,freefire,2.5,3.5,agrresive,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,yes,yes,119,Very High,Action
18,male,11th,lahore,joint,sports,cricket,3.5,2.5,irritation,1,1,2,4,5,4,4,2,4,1,5,4,2,1,4,2,4,2,1,5,2,4,4,4,4,2,2,5,1,1,yes,yes,87,Above Average,Sports/Racing
25,male,16,lahore,joint,no,8poll,0.5,0.5,no,1,2,4,2,2,3,3,2,3,4,4,2,4,5,3,3,2,5,3,3,2,2,2,3,2,4,3,2,2,3,yes,no,85,Above Average,Other
25,male,m.a special education,rajanpur,joint,fighting,pubg,1.5,0.5,no changes,4,4,4,4,2,2,2,2,4,2,2,2,2,2,2,4,4,2,4,3,2,2,2,2,2,2,2,2,2,4,no,yes,79,Above Average,Fighting
19,male,12th,lahore,nuclear,fighting,pubg,2.5,2.5,idk,3,4,4,3,3,3,3,3,2,1,2,3,2,2,2,2,3,3,1,3,3,2,3,3,3,3,3,3,4,4,yes,yes,83,Above Average,Fighting
